session_id,user_id,timestamp,action,alert_id,dwell_time_ms,tooltip_seen,help_clicked,error,view
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:15:53,view_dashboard,,0,,,,overview
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:16:12,view_alert_list,,0,,,,alerts
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:16:18,open_alert_details,ATK-0037,9717,False,False,,
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:16:21,click_respond,ATK-0037,0,False,False,False,
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:16:24,confirm_action,ATK-0037,0,False,False,False,
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:17:07,view_alert_list,,0,,,,alerts
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:17:09,open_alert_details,ATK-0072,39781,True,False,,
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:17:18,search,ATK-0072,0,False,False,False,
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:17:22,search,ATK-0072,0,False,False,False,
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:17:24,dismiss_alert,ATK-0072,0,False,False,False,
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:18:13,view_alert_list,,0,,,,alerts
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:18:28,open_alert_details,ATK-0025,25298,True,False,,
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:18:33,click_respond,ATK-0025,0,False,False,False,
a6a8d525-8d51-434a-9c43-75a314bf2773,analyst_john,2025-12-11T13:18:35,confirm_action,ATK-0025,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T15:59:53,view_dashboard,,0,,,,overview
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:00:49,view_alert_list,,0,,,,alerts
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:00:52,open_alert_details,ATK-0039,33108,True,False,,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:00:54,search,ATK-0039,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:01:00,click_respond,ATK-0039,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:01:03,click_respond,ATK-0039,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:01:05,confirm_action,ATK-0039,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:01:52,view_alert_list,,0,,,,alerts
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:02:01,open_alert_details,ATK-0007,21965,False,False,,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:02:04,click_respond,ATK-0007,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:02:08,click_respond,ATK-0007,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:02:12,confirm_action,ATK-0007,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:02:59,view_alert_list,,0,,,,alerts
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:03:09,open_alert_details,ATK-0032,7679,False,True,,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:03:13,filter_change,ATK-0032,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:03:21,search,ATK-0032,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:03:28,dismiss_alert,ATK-0032,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:03:47,view_alert_list,,0,,,,alerts
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:03:59,open_alert_details,ATK-0080,6665,True,False,,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:04:02,click_respond,ATK-0080,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:04:08,confirm_action,ATK-0080,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:04:26,view_alert_list,,0,,,,alerts
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:04:43,open_alert_details,ATK-0046,28928,False,False,,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:04:49,click_respond,ATK-0046,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:04:53,click_respond,ATK-0046,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:04:59,click_respond,ATK-0046,0,False,False,False,
87c48407-3fcb-4c07-b026-39a80cd429fc,analyst_mike,2025-12-11T16:05:04,confirm_action,ATK-0046,0,False,False,False,
1e4e6430-d834-4dcd-be30-ccbbdccebc8e,soc_lead,2025-12-11T16:08:53,view_dashboard,,0,,,,overview
1e4e6430-d834-4dcd-be30-ccbbdccebc8e,soc_lead,2025-12-11T16:09:30,view_alert_list,,0,,,,alerts
1e4e6430-d834-4dcd-be30-ccbbdccebc8e,soc_lead,2025-12-11T16:09:47,open_alert_details,ATK-0022,8957,False,False,,
1e4e6430-d834-4dcd-be30-ccbbdccebc8e,soc_lead,2025-12-11T16:09:52,dismiss_alert,ATK-0022,0,False,False,False,
1e4e6430-d834-4dcd-be30-ccbbdccebc8e,soc_lead,2025-12-11T16:10:21,view_alert_list,,0,,,,alerts
1e4e6430-d834-4dcd-be30-ccbbdccebc8e,soc_lead,2025-12-11T16:10:35,open_alert_details,ATK-0010,42052,False,False,,
1e4e6430-d834-4dcd-be30-ccbbdccebc8e,soc_lead,2025-12-11T16:10:36,filter_change,ATK-0010,0,False,False,False,
1e4e6430-d834-4dcd-be30-ccbbdccebc8e,soc_lead,2025-12-11T16:10:45,search,ATK-0010,0,False,False,False,
1e4e6430-d834-4dcd-be30-ccbbdccebc8e,soc_lead,2025-12-11T16:10:50,click_respond,ATK-0010,0,False,False,False,
1e4e6430-d834-4dcd-be30-ccbbdccebc8e,soc_lead,2025-12-11T16:10:53,click_respond,ATK-0010,0,False,False,False,
1e4e6430-d834-4dcd-be30-ccbbdccebc8e,soc_lead,2025-12-11T16:10:58,confirm_action,ATK-0010,0,False,False,False,
